,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,order_fee,ABM,SubmittedOrders,PaidFees,spread
6,0,ORDER_SUBMITTED,,565,NoiseAgent,,2021-02-05 09:11:02,ABM,100.0,Side.ASK,212.0,,,100010.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,565,NoiseAgent,,2021-02-05 09:11:02,ABM,94.0,Side.ASK,212.0,100010.0,,100010.0,False,False,False,False,0.0,,,,
10,1612516458990895318,ORDER_EXECUTED,,565,NoiseAgent,,2021-02-05 09:11:02,ABM,6.0,Side.ASK,212.0,100010.0,,100010.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,569,NoiseAgent,,2021-02-05 09:20:11,ABM,100.0,Side.BID,404.0,,,99985.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,569,NoiseAgent,,2021-02-05 09:20:11,ABM,100.0,Side.BID,404.0,99985.0,,99985.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,570,NoiseAgent,,2021-02-05 09:42:18,ABM,100.0,Side.ASK,1038.0,,,99927.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,570,NoiseAgent,,2021-02-05 09:42:18,ABM,1.0,Side.ASK,1038.0,99927.0,,99927.0,False,False,False,False,0.0,,,,
10,1612518138132967424,ORDER_EXECUTED,,570,NoiseAgent,,2021-02-05 09:42:18,ABM,34.0,Side.ASK,1038.0,99927.0,,99927.0,False,False,False,False,0.0,,,,
12,1612518138475684904,ORDER_EXECUTED,,570,NoiseAgent,,2021-02-05 09:42:18,ABM,65.0,Side.ASK,1038.0,99927.0,,99927.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,582,NoiseAgent,,2021-02-05 09:27:19,ABM,100.0,Side.BID,569.0,,,99982.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,582,NoiseAgent,,2021-02-05 09:27:19,ABM,96.0,Side.BID,569.0,99982.0,,99982.0,False,False,False,False,0.0,,,,
10,1612517264566879630,ORDER_EXECUTED,,582,NoiseAgent,,2021-02-05 09:27:19,ABM,4.0,Side.BID,569.0,99982.0,,99982.0,False,False,False,False,0.0,,,,
